"","X","corr","aa","tcr"
"479",2,0.647684451178719,"BLOSUM30","47BE7"
"480",3,0.649428066115529,"BLOSUM35","47BE7"
"481",4,0.666367632541225,"BLOSUM40","47BE7"
"482",5,0.665246405542732,"BLOSUM45","47BE7"
"483",6,0.653878791764804,"BLOSUM50","47BE7"
"484",7,0.648868986299471,"BLOSUM55","47BE7"
"485",8,0.630728729611302,"BLOSUM60","47BE7"
"486",9,0.629398137152213,"BLOSUM65","47BE7"
"487",10,0.625799476420427,"BLOSUM70","47BE7"
"488",11,0.649441068737738,"BLOSUM75","47BE7"
"489",12,0.653716350884286,"BLOSUM80","47BE7"
"490",13,0.665065617951041,"BLOSUM85","47BE7"
"491",14,0.664602121239277,"BLOSUM90","47BE7"
"492",15,0.66089563899587,"BLOSUM100","47BE7"
"493",16,0.650205751963984,"PAM10","47BE7"
"494",17,0.663855224780619,"PAM20","47BE7"
"495",18,0.650492774905423,"PAM30","47BE7"
"496",19,0.653114324189493,"PAM40","47BE7"
"497",20,0.647944305450695,"PAM50","47BE7"
"498",21,0.63965522076154,"PAM60","47BE7"
"499",22,0.638493341301936,"PAM70","47BE7"
"500",23,0.631256190632421,"PAM80","47BE7"
"501",24,0.630604521449383,"PAM90","47BE7"
"502",25,0.622162154655198,"PAM100","47BE7"
"503",26,0.641306343877354,"PAM110","47BE7"
"504",27,0.632964329772598,"PAM120","47BE7"
"505",28,0.630988511897277,"PAM130","47BE7"
"506",29,0.61956679551086,"PAM140","47BE7"
"507",30,0.606447113928057,"PAM150","47BE7"
"508",31,0.601137823356886,"PAM160","47BE7"
"509",32,0.60469098797824,"PAM170","47BE7"
"510",33,0.593240985432073,"PAM180","47BE7"
"511",34,0.589692047970513,"PAM190","47BE7"
"512",35,0.587962313063615,"PAM200","47BE7"
"513",36,0.592097743530568,"PAM210","47BE7"
"514",37,0.594661809056248,"PAM220","47BE7"
"515",38,0.569763785493131,"PAM230","47BE7"
"516",39,0.575436208840609,"PAM240","47BE7"
"517",40,0.575763041741078,"PAM250","47BE7"
"518",41,0.518153568447299,"PAM260","47BE7"
"519",42,0.52407545200511,"PAM270","47BE7"
"520",43,0.515383715328545,"PAM280","47BE7"
"521",44,0.502534147954769,"PAM290","47BE7"
"522",45,0.453737824584704,"PAM300","47BE7"
"523",46,0.468046648086905,"PAM310","47BE7"
"524",47,0.45819889403376,"PAM320","47BE7"
"525",48,0.452712988755082,"PAM330","47BE7"
"526",49,0.426214953569169,"PAM340","47BE7"
"527",50,0.427422303777639,"PAM350","47BE7"
"528",51,0.410285363330461,"PAM360","47BE7"
"529",52,0.42631380167919,"PAM370","47BE7"
"530",53,0.393357873961335,"PAM380","47BE7"
"531",54,0.389038304909645,"PAM390","47BE7"
"532",55,0.39062140189106,"PAM400","47BE7"
"533",56,0.376008975503565,"PAM410","47BE7"
"534",57,0.358441476294884,"PAM420","47BE7"
"535",58,0.36935309501871,"PAM430","47BE7"
"536",59,0.371994260431068,"PAM440","47BE7"
"537",60,0.388482016205521,"PAM450","47BE7"
"538",61,0.373212099978948,"PAM460","47BE7"
"539",62,0.34902792273916,"PAM470","47BE7"
"540",63,0.343088345463713,"PAM480","47BE7"
"541",64,0.36624455633647,"PAM490","47BE7"
"542",65,0.364278460861683,"PAM500","47BE7"
"543",66,0.574650383527445,"DAYHOFF","47BE7"
"544",67,0.565071030287063,"GONNET","47BE7"
"545",0,0.656033390436541,"HAMMING","7A10"
"546",1,0.430867315466981,"BLOSUM62","7A10"
"547",2,0.414217738540119,"BLOSUM30","7A10"
"548",3,0.422127339718893,"BLOSUM35","7A10"
"549",4,0.447902656327312,"BLOSUM40","7A10"
"550",5,0.447955886782342,"BLOSUM45","7A10"
"551",6,0.43187540555521,"BLOSUM50","7A10"
"552",7,0.41962602444816,"BLOSUM55","7A10"
"553",8,0.429998607115609,"BLOSUM60","7A10"
"554",9,0.413109718913004,"BLOSUM65","7A10"
"555",10,0.428508910942966,"BLOSUM70","7A10"
"556",11,0.411318737196252,"BLOSUM75","7A10"
"557",12,0.409315559944283,"BLOSUM80","7A10"
"558",13,0.41727224796199,"BLOSUM85","7A10"
